Count;ComponentName;RefDes;Value;Description;cost;pins;consumption;sq;Link;pack;sqP;зфсл;manufactor;man;lock;pach
1;KPA-1606EC;VD4;RESET;SMD светодиод 0603;5,77;;;3;;SMD 0603;;;;;;
12;KR514ID2N_;DD8;;;;;;;;;;;;;;
;KR514ID2N_;DD9;;;;;;;;;;;;;;
;KR514ID2N_;DD10;;;;;;;;;;;;;;
;KR514ID2N_;DD11;;;;;;;;;;;;;;
;KR514ID2N_;DD12;;;;;;;;;;;;;;
;KR514ID2N_;DD13;;;;;;;;;;;;;;
;KR514ID2N_;DD14;;;;;;;;;;;;;;
;KR514ID2N_;DD15;;;;;;;;;;;;;;
;KR514ID2N_;DD24;;;;;;;;;;;;;;
;KR514ID2N_;DD25;;;;;;;;;;;;;;
;KR514ID2N_;DD26;;;;;;;;;;;;;;
;KR514ID2N_;DD27;;;;;;;;;;;;;;
1;KT3102;VT1;;NPN транзистор;5;;;;;SOT23;;;;;;
1;LM324D;DA2;;счетверённы оп. ус.;100;;;170;;SOIC 14;;;;AD;;
1;LM339N;DA3;;2 comparators;5;8;30;42;;;;;;;;
4;MLT0125;R166;*;Резистор;0.5;;;40;;MLT0125;;;;Vishay;;
;MLT0125;R167;*;Резистор;0.5;;;40;;MLT0125;;;;Vishay;;
;MLT0125;R168;*;Резистор;0.5;;;40;;MLT0125;;;;Vishay;;
;MLT0125;R169;*;Резистор;0.5;;;40;;MLT0125;;;;Vishay;;
1;MPS-850N;K1;RESET;Кнопка с фиксацией;20;;;120;;ON_BUTTON;;;;Twn;;
1;PB22E09;K3;DELTA_EN;Кнопка с фиксацией;20;;;120;;ON_BUTTON;;;;Twn;;
1;PB22E09;K2;ENABLE COUNT;Кнопка с фиксацией;20;;;120;;ON_BUTTON;;;;Twn;;
2;SN74HC165D;DD2;;8 вх сдв рег;20;16;500;82;;SOIC16;;;;;;
;SN74HC165D;DD28;;8 вх сдв рег;20;16;500;82;;SOIC16;;;;;;
1;TL431ACZ;DA1;;Стабилизатор напряжения;25;;;;;SOT23;;;;;;
1;VCC1;G2;80MHz;Генератор кварцевый;50;;;70;;SO4orj;;;;Microsemi;;
1;WF6M;X2;POWER_IN;Разъём вилка 6 конт.;20;6;0.5;96;;;;;;;;
1;WF8M;X1;TO_PHOTOSENSOR;Разъём вилка 8 конт.;20;6;0.5;96;;;;;;;;
